304528 | 1402073883 | 821 | BTC Guild
304529 | 1402075534 | 1651 | BTC Guild
304530 | 1402075703 | 169 | Unknown
304531 | 1402077253 | 1550 | GHash.IO
304532 | 1402077888 | 635 | Bitminter
304533 | 1402078329 | 441 | F2pool (Discus Fish)
304534 | 1402080112 | 1783 | GHash.IO
304535 | 1402081325 | 1213 | GHash.IO
304536 | 1402081421 | 96 | Unknown
304537 | 1402082028 | 607 | GHash.IO
304538 | 1402083299 | 1271 | BTC Guild
304539 | 1402084494 | 1195 | GHash.IO
304540 | 1402084678 | 184 | slush - mining.bitcoin.cz
304541 | 1402084810 | 132 | BTC Guild
304542 | 1402084885 | 75 | GHash.IO
304543 | 1402085451 | 566 | F2pool (Discus Fish)
304544 | 1402085656 | 205 | Unknown
304545 | 1402087105 | 1449 | GHash.IO
304546 | 1402086949 | -156 | Unknown
304547 | 1402087480 | 531 | F2pool (Discus Fish)
304548 | 1402088202 | 722 | Unknown
304549 | 1402088278 | 76 | GHash.IO
304550 | 1402088635 | 357 | GHash.IO
304551 | 1402088768 | 133 | F2pool (Discus Fish)
304552 | 1402089066 | 298 | Polmine
304553 | 1402089312 | 246 | GHash.IO
304554 | 1402089328 | 16 | Eligius
304555 | 1402089710 | 382 | GHash.IO
304556 | 1402090526 | 816 | GHash.IO
304557 | 1402090565 | 39 | BTC Guild
304558 | 1402092225 | 1660 | GHash.IO
304559 | 1402092615 | 390 | slush - mining.bitcoin.cz
304560 | 1402092826 | 211 | Unknown
304561 | 1402093934 | 1108 | GHash.IO
304562 | 1402094794 | 860 | BTC Guild
304563 | 1402094888 | 94 | BTC Guild
304564 | 1402095382 | 494 | GHash.IO
304565 | 1402097116 | 1734 | GHash.IO
304566 | 1402097447 | 331 | BTC Guild
304567 | 1402098247 | 800 | GHash.IO
304568 | 1402098330 | 83 | Unknown
304569 | 1402099076 | 746 | F2pool (Discus Fish)
304570 | 1402099595 | 519 | Eligius
304571 | 1402099850 | 255 | F2pool (Discus Fish)
304572 | 1402101991 | 2141 | Bitminter
304573 | 1402102063 | 72 | BTC Guild
304574 | 1402102339 | 276 | GHash.IO
304575 | 1402102348 | 9 | BTC Guild
304576 | 1402102425 | 77 | GHash.IO
304577 | 1402102804 | 379 | GHash.IO
304578 | 1402103172 | 368 | F2pool (Discus Fish)
304579 | 1402103569 | 397 | Eligius
304580 | 1402104568 | 999 | GHash.IO
304581 | 1402104940 | 372 | BTC Guild
304582 | 1402105718 | 778 | Unknown
304583 | 1402106902 | 1184 | Unknown
304584 | 1402107622 | 720 | BTC Guild
304585 | 1402108227 | 605 | Unknown
304586 | 1402109043 | 816 | Polmine
304587 | 1402108537 | -506 | GHash.IO
304588 | 1402108947 | 410 | GHash.IO
